file,total_distance,first_point_lat,first_point_lon,first_point_time,last_point_in_first_circle_lat,last_point_in_first_circle_lon,last_point_in_first_circle_time,first_point_in_second_circle_lat,first_point_in_second_circle_lon,first_point_in_second_circle_time,time_between_circles_hours,last_point_lat,last_point_lon,last_point_time,total_time_gap_hours,num_points
1111.track,48.76,30.978259,81.283607,2024-06-05 09:23:40,30.984959,81.270255,2024-06-05 09:48:31,31.102928,81.310802,2024-06-05 16:28:42,7.083888888888889,30.978141,81.283885,2024-06-06 19:43:52,34.336666666666666,4604
1112.track,56.24,30.978223,81.283619,2024-06-05 09:23:40,30.984945,81.270222,2024-06-05 09:48:34,31.101267,81.311275,2024-06-05 16:36:39,7.216388888888889,30.978323,81.283695,2024-06-06 20:44:54,35.35388888888889,5020
1114.track,50.1,30.97818,81.283577,2024-06-05 09:33:17,30.984915,81.270267,2024-06-05 09:53:00,31.101187,81.311285,2024-06-05 15:45:06,6.196944444444444,30.975133,81.287955,2024-06-06 20:07:05,34.56333333333333,4702
1128.track,49.88,30.967105,81.286403,2024-06-08 06:46:42,30.984917,81.270284,2024-06-08 07:40:43,31.101248,81.311292,2024-06-08 14:37:40,7.849444444444444,30.96662,81.286588,2024-06-09 20:14:32,37.46388888888889,4735
1130.track,46.42,30.9788543,81.2833941,2024-06-08 09:15:36,30.9849045,81.2702282,2024-06-08 09:33:11,31.1010377,81.3114012,2024-06-08 13:12:15,3.944166666666667,30.97878,81.283461,2024-06-08 22:00:17,12.744722222222222,4185
1133.track,48.43,30.978216,81.283574,2024-06-09 08:50:26,30.98496,81.270286,2024-06-09 09:12:17,31.101214,81.311252,2024-06-09 15:20:00,6.4927777777777775,30.978094,81.283962,2024-06-10 18:55:32,34.085,4575
1139.track,48.4,30.97825,81.283405,2024-06-11 08:13:24,30.984928,81.270292,2024-06-11 08:34:10,31.101262,81.31124,2024-06-11 15:21:54,7.141666666666667,30.977475,81.287571,2024-06-12 21:25:37,37.20361111111111,4574
1141.track,46.3,30.978759,81.283373,2024-06-11 09:03:20,30.9849102,81.2702782,2024-06-11 09:16:26,31.1012541,81.3112727,2024-06-11 11:37:28,2.568888888888889,30.9779518,81.2846042,2024-06-11 17:12:42,8.15611111111111,3996
1142.track,46.61,30.9788467,81.2834313,2024-06-11 09:03:18,30.9849573,81.2702347,2024-06-11 09:16:49,31.1012446,81.3112507,2024-06-11 11:41:45,2.640833333333333,30.9789048,81.2834518,2024-06-11 18:17:21,9.234166666666667,4007
1143.track,48.51,30.978773,81.282018,2024-06-11 09:18:45,30.984962,81.270252,2024-06-11 09:34:34,31.101266,81.3112,2024-06-11 14:40:15,5.358333333333333,30.972262,81.282818,2024-06-12 22:04:00,36.75416666666667,4551
