file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
2597.kml,,30.973,81.28557,4672.0,0.14013292816877984,2014-05-04 18:53:18,2014-05-06 07:08:10,36.25,5,2014
2598.kml,,30.973,81.285568,4672.0,0.14027821036786753,2014-05-04 18:53:18,2014-05-06 07:08:10,36.25,5,2014
2599.kml,,30.973,81.28557,4672.0,0.14013292816877984,2014-05-04 18:53:18,2014-05-06 07:08:10,36.25,5,2014
2600.kml,,30.973,81.28557,4672.0,0.14013292816877984,2014-05-04 18:53:18,2014-05-06 07:08:10,36.25,5,2014
2602.kml,,30.979011,81.281789,4671.927783,0.7428830577200105,2023-07-05 15:24:17,2023-07-06 09:27:05,18.05,7,2023
2606.kml,,30.973942,81.286499,4664.355469,0.022892957698274777,2018-10-20 18:14:24,2018-10-22 02:53:05,32.64,10,2018
2607.kml,,30.979078,81.281502,4531.350098,0.766062359593412,2024-08-30 19:56:57,2024-08-31 04:02:54,8.1,8,2024
2610.kml,,30.978204,81.283599,4673.874785,0.5699207760364695,2024-06-08 19:05:45,2024-06-10 04:55:58,33.84,6,2024
2612.kml,,30.97484,81.28675,4678.54883,0.11393817895099366,2017-09-14 17:53:26,2017-09-15 00:46:01,6.88,9,2017
2614.kml,,30.9703777,81.2865297,4626.52,0.3826964401413667,2023-07-24 18:19:45,2023-07-25 01:40:51,7.35,7,2023
2615.kml,,30.978434,81.282771,4672.95675,0.6349524279255101,2023-08-24 18:47:48,2023-08-25 06:39:33,11.86,8,2023
2616.kml,,30.972253,81.283177,4649.319663,0.37732498467853826,2023-07-13 16:42:34,2023-07-14 03:46:52,11.07,7,2023
2619.kml,,30.9702717896846,81.28599994151212,4615.1743,0.39961448199892163,2021-06-03 17:54:58,2021-06-04 02:17:56,8.38,6,2021
2627.kml,,30.978733,81.281996,4674.534555,0.7064504194946788,2024-06-07 18:43:58,2024-06-08 01:47:41,7.06,6,2024
2628.kml,,30.9776,81.28616,4671.32959,0.4237076907241818,2017-08-03 17:29:51,2017-08-04 06:04:38,12.58,8,2017
2629.kml,,30.96990293985264,81.28622978106348,4630.2114,0.43738548113512166,,,,,
2630.kml,,30.97062,81.2864,4598.0,0.3565204664931843,2019-06-08 17:37:04,2019-06-09 01:09:02,7.53,6,2019
2631.kml,,30.970079,81.283853,4643.569223,0.4958454392953215,2023-09-01 17:35:47,2023-09-02 02:00:59,8.42,9,2023
2634.kml,,30.968121,81.285999,4636.581919,0.636738980408062,2024-05-27 17:13:07,2024-05-28 01:00:57,7.8,5,2024
2651.kml,,30.97524,81.28612,4670.61816,0.16732344874699415,2018-09-10 17:49:17,2018-09-12 00:51:57,31.04,9,2018
2652.kml,,30.97588694159681,81.28702095271197,4681.0,0.23236554572223522,2019-07-18 16:57:37,2019-07-20 03:01:24,34.06,7,2019
2653.kml,,30.970396,81.286666,4646.350379,0.3803648470636947,2024-05-04 17:46:32,2024-05-06 06:01:25,36.25,5,2024
2657.kml,,30.972526,81.286321,4659.256235,0.14775036611821046,2024-08-15 14:17:36,2024-08-16 09:51:46,19.57,8,2024
2659.kml,,30.978412,81.28266,4674.030564,0.6392786569342154,2024-08-30 19:14:07,2024-09-01 17:19:08,46.08,8,2024
2661.kml,,30.969131,81.286072,4640.588379,0.524335302619217,2021-09-06 14:56:09,2021-09-08 01:03:53,34.13,9,2021
2663.kml,,30.978245,81.283394,4674.15332,0.5841038973659887,2022-08-01 16:36:24,2022-08-03 01:26:10,32.83,8,2022
2664.kml,,30.978306,81.283279,4674.068359,0.5957454133333523,2022-08-06 18:37:01,2022-08-08 02:47:42,32.18,8,2022
2668.kml,,30.980343,81.277759,4675.694246,1.118707326269614,2024-06-18 18:53:51,2024-06-20 02:38:35,31.75,6,2024
